1.356,0.349	64.350,0.004	0.045,34.896
1.694,1.355	110.955,0.044	0.041,126.451
3.153,1.716	100.402,0.026	0.039,105.830
9.234,0.689	86.347,0.042	0.223,41.413
1.115,1.006	76.776,0.023	0.097,42.115
0.348,3.059	27.329,0.183	0.005,190.510
4.501,0.802	33.569,0.027	0.128,71.675
3.204,0.155	109.199,0.005	3.204,13.327
0.046,0.812	0.002,67.120
73.476,0.823	0.154,58.095
0.906,3.363	90.072,0.035	0.186,182.243	18.504,182.243
0.910,2.104	58.710,0.095	0.013,157.161
91.625,0.033	0.044,74.604
1.837,6.676	57.864,0.786	0.021,87.552
8.747,0.016	80.043,0.016	1.234,100.904
185.852,0.152	0.772,25.824	3.220,25.824
1.234,6.055	78.720,0.284	0.013,100.987
0.466,0.683	42.043,0.013
0.678,6.713	57.389,0.196	0.009,372.165
2.927,2.554	262.415,0.198	262.415,6.578	0.202,84.875
294.201,0.062	0.057,312.433	3.405,312.433
174.946,0.171	3.082,78.881
4.394,0.673	163.194,0.034	0.175,64.601	6.492,64.601
50.173,0.041	50.173,2.789	7.152,159.977
0.722,0.887	56.778,0.014	0.009,60.105
1.485,2.298	89.610,0.024	0.026,208.196
1.008,0.894	0.016,45.142
81.762,0.193	0.010,8.210	0.010,100.057
12.566,0.040	12.566,2.673	0.005,31.371
1.954,2.726	149.498,0.036	0.089,51.037	6.821,51.037
1.754,0.518	97.477,0.007	0.046,50.838
0.730,1.299	21.130,0.019	0.008,122.344
0.728,1.514	62.240,0.021
0.406,1.003	33.969,0.021	0.016,98.690
4.718,3.056	83.211,0.081	0.066,122.824
0.008,9.438	0.008,315.070
91.292,0.354	0.063,198.631
78.881,0.512	78.881,7.197	0.011,210.965
56.356,0.240	56.356,6.869	0.117,544.091	6.444,544.091
86.898,0.022	0.036,52.497
12.309,0.303	95.660,0.303	0.244,340.346
0.852,1.924	55.874,0.045	0.038,52.032
2.870,0.125	232.744,0.125	0.034,286.232
3.993,0.203	306.924,0.005	0.283,11.256	21.728,11.256
0.907,1.300	67.559,0.022	0.031,28.011
84.222,1.074	0.122,131.465
77.098,0.143	77.098,9.218	0.039,594.609
1.527,1.591	51.692,0.085	0.025,127.159
6.830,0.094	82.189,0.094	0.112,192.537
0.741,6.569	49.368,0.079	0.008,343.076
423.395,0.097	0.161,108.340	7.185,108.340
2.049,0.667	149.498,0.030	149.498,2.329	0.027,51.037
0.777,0.333	76.746,0.023
4.738,4.231	50.602,0.135	0.047,139.925
3.681,0.238	183.218,0.021	0.060,21.363
1.513,1.096	143.773,0.012	0.017,85.153
0.281,4.508	0.008,415.983
0.858,1.021	71.016,0.014	0.085,99.783
1.824,2.000	143.773,0.057	0.163,85.153	12.809,85.153
212.057,0.057	0.036,215.834	2.691,215.834
88.823,0.104	0.031,506.321
2.499,7.572	141.500,0.086	0.223,96.729
120.209,12.417	0.058,161.547
0.026,136.946
0.026,2.107	0.000,187.804
3.063,2.616	297.021,0.100	0.078,249.616
4.024,1.268	307.484,1.069	0.047,103.926
99.526,0.421	0.049,15.548	0.049,114.605
71.174,0.017	0.182,126.203	5.563,126.203
1.176,0.024	90.382,0.000
11.052,0.202	194.420,0.202	0.170,159.997
324.206,0.021	0.781,17.867
4.025,0.166	301.168,0.166	0.151,435.672
280.301,0.474	0.081,662.949
50.463,3.041	0.029,137.131	2.209,137.131
1.470,0.306	102.228,0.021
171.245,0.825	0.027,11.605	0.027,90.183
0.540,0.362	46.283,0.004	0.006,25.422
4.055,0.003	135.963,0.003
0.988,4.189	33.398,0.141	0.127,167.608
1.648,1.609	55.369,0.119	0.200,48.915
1.798,0.394	73.625,0.005
1.018,1.311	69.850,0.032	0.049,88.013
868.886,0.071	2.216,116.186
2.402,3.451	158.814,0.093	0.054,109.445
7.571,1.532	138.998,0.068	138.998,6.462	0.125,146.384
0.904,0.101	49.689,0.002	0.904,8.723
5.245,0.876	175.210,0.010	0.385,77.198
2.488,1.363	100.127,0.048	0.054,55.609
0.102,0.674	0.002,49.232
4.545,2.294	91.712,0.033	0.073,115.341
1.147,0.820	80.121,0.018	0.019,50.736
4.755,1.125	400.117,0.038	0.065,69.143
2.024,3.988	183.256,0.108	0.025,103.644
6.431,4.860	170.091,0.067	0.080,285.957
0.697,2.056	53.266,0.040	0.007,100.649
167.204,0.063	167.204,3.921	0.027,222.135
1.949,3.391	80.555,0.059	0.022,44.788
4.787,0.583	55.661,0.012	0.066,55.839
0.922,0.792	91.285,0.010	0.922,7.399
0.883,0.697	79.888,0.034	0.039,68.442
2.166,0.454	179.782,0.008	2.166,11.406
390.269,0.005	0.307,24.814
138.799,1.650	0.086,570.322
52.376,0.096	52.376,5.311	0.086,328.207
137.848,0.007	0.769,48.865
339.340,0.049	2.581,3.984	2.581,135.080
0.573,1.182	25.206,0.015	0.008,56.944
0.385,3.483	18.049,0.038	0.007,53.826
0.569,3.649	51.260,0.652	0.025,130.334
2.089,0.105	133.094,0.009	2.089,8.270
4.170,5.742	0.043,233.425
0.579,0.044	32.626,0.001	0.579,4.011
0.968,4.962	91.394,0.332	0.023,246.722
6.936,0.810	526.144,0.015	0.134,44.689
2.316,1.272	158.710,0.017	0.054,67.246
322.203,0.135	0.480,365.471
215.394,0.043	0.407,110.673
92.325,0.087	0.617,146.209
65.047,0.074	0.024,245.272
308.783,0.628	0.130,262.836
1.403,0.010	87.657,0.010	0.022,28.404
108.357,0.020
3.257,0.046	82.792,0.046	3.257,1.502	82.792,1.502	0.192,60.180
0.069,5.529	0.041,139.405
12.352,0.054	135.943,0.054	0.198,84.670
0.678,2.187	25.226,0.062	0.368,60.330
2.801,0.028	211.718,0.028	0.031,87.901
4.140,0.008	117.047,0.008
0.301,0.026	28.864,0.000
646.827,0.075	0.088,118.016
647.308,0.004	0.216,24.360	9.442,24.360
94.958,0.302	0.077,561.244
97.551,0.003	0.571,8.134	7.142,8.134
6.632,0.037	270.906,0.001
6.121,5.797	447.796,0.424	0.176,562.540
97.471,0.384	0.011,132.215
0.795,3.353	74.827,0.035	0.013,150.337
0.223,6.475	0.223,170.001
74.193,0.127	0.022,119.018
35.464,0.018	0.058,126.319	0.646,126.319
0.219,0.739	14.445,0.008	0.004,67.874
1.428,4.696	75.253,0.129	0.026,45.545
1.174,0.751	98.735,0.008	0.039,72.254
344.673,0.094	4.946,137.945
2.705,4.058	107.604,0.043	0.040,335.417
4.632,0.379	104.111,0.379	0.152,102.005
1.210,0.127	78.466,0.127	0.013,11.763	0.013,405.972
4.902,1.665	204.334,0.140	0.116,95.261
52.327,0.938	52.327,19.637
0.306,0.296	29.440,0.003	0.007,28.807
1.242,3.598	94.907,0.061	0.014,74.915
7.290,2.370	563.045,0.034	0.108,161.248
1.117,2.317	98.939,0.050	0.062,113.935
99.971,0.033	0.041,3.064	0.041,163.882
37.496,0.208	0.929,92.795	6.433,92.795
0.281,0.700	10.434,0.700	0.281,18.901	10.434,18.901
111.776,0.011	1.275,69.241
1.953,1.161	42.097,0.018	0.034,102.638
0.075,0.301
0.364,0.677	33.385,0.097	33.385,7.056	0.004,49.049
2.173,0.343	41.485,0.005	0.118,27.594
0.491,1.233	27.379,0.015	0.014,93.167
0.475,0.085	44.842,0.002
54.196,0.106	0.008,5.750	0.008,172.264
1.847,1.013	137.010,0.577	0.032,44.750
453.909,0.315	3.015,0.938	3.015,54.066
3.127,0.637	18.691,0.022	0.165,30.911
6.583,0.210	62.605,0.002
8.921,0.082	109.637,0.082	0.200,260.175
40.712,0.024	0.138,79.410
124.089,0.023	0.087,45.264	8.017,45.264
10.700,2.051	230.537,0.073	0.242,25.802
69.618,0.028	0.854,47.179	4.295,47.179
51.105,0.603	0.048,218.044
89.888,0.129	0.474,521.434
119.761,0.152	119.761,7.716	0.075,135.627
61.792,0.191	0.032,165.943	1.879,165.943
0.486,1.361	32.918,0.014	0.005,92.387
74.029,0.091	74.029,1.398	0.009,30.049
2.221,4.216	184.040,4.216	2.221,21.194	184.040,21.194	0.034,105.989
1.146,3.970	104.048,0.044	0.054,141.747
1.864,0.854	47.037,0.034	0.053,48.644
129.728,0.130	0.073,6.150	0.073,354.535
91.260,0.193	91.260,11.809	0.564,203.894
5.708,0.015	330.543,0.015	0.200,76.820
0.394,5.530	39.111,0.103	0.005,47.866
691.600,0.004
7.642,3.861	373.731,0.049	0.097,187.267
0.212,3.081	18.854,3.081	0.010,265.856
1.432,0.742	103.476,0.027	0.025,59.035
485.724,0.019	1.736,75.402
4.101,0.902	203.890,0.047	203.890,2.674	0.071,51.491
2.457,1.104	209.229,0.020	0.075,84.245
3.337,3.327	40.371,0.035	0.041,130.018
84.097,0.043
23.204,0.002	197.155,0.002
0.320,0.402	31.415,0.007	0.014,38.517
92.666,0.345	0.011,213.209
2.445,0.623	78.353,0.010	0.044,59.732
0.431,0.894	32.385,0.010	0.012,33.020
5.838,2.824	389.783,0.030	0.146,129.051
0.896,10.264	85.379,0.265	0.011,92.840
0.517,0.335	48.044,0.005
1.904,1.495	123.365,0.053	0.040,100.141
18.030,0.291	0.004,188.292
85.861,0.375	85.861,10.988	0.186,237.358
1.185,1.315	84.246,0.024	0.034,89.087
5.555,8.609	107.042,0.277	0.076,387.870
3.947,0.531	116.273,0.008	1.088,21.241
1.707,1.956	84.494,0.062	84.494,5.777	0.025,183.198
22.006,0.951	0.010,897.881
3.936,0.770	244.229,0.009
0.030,479.479
10.502,6.028	732.905,0.090	0.317,88.855	22.103,88.855
2.596,0.713	188.531,0.008	0.190,68.142
0.834,1.254	42.641,0.022	0.010,55.971
0.501,0.317	24.233,0.004	0.132,18.740
107.654,0.044	107.654,1.043	0.330,91.206
1.174,2.046	110.925,0.021	0.012,85.835
15.351,1.822	68.610,0.152	68.610,8.482	0.248,101.502
23.217,0.070	23.217,3.493	0.003,236.928
13.388,1.658	98.714,0.143	0.186,149.297
228.362,0.001
188.480,0.259	0.030,11.790	0.030,155.235
530.339,0.465	0.337,49.358
55.270,0.144	0.020,10.286	0.020,125.739
3.921,0.294	124.735,0.294	0.114,218.374
216.238,0.440	0.090,40.326	8.615,40.326
0.788,2.605	76.454,0.031	0.010,171.125
0.332,3.459	25.477,1.221	0.005,117.433
64.220,0.025	0.020,1.860	1.818,1.860	0.020,114.974	1.818,114.974
0.564,0.350	29.183,0.005	0.007,33.464
512.150,4.052	0.129,214.328
4.222,1.009	43.682,0.027	0.057,56.573
2.431,4.636	102.346,0.129	0.029,68.878
5.599,0.141	153.078,0.141	0.058,35.436
179.475,0.228	4.490,3.816
2.157,2.606	115.484,0.034	0.140,87.592
130.880,0.187	0.021,609.390
0.544,0.241	41.342,0.004	0.006,14.109
23.420,0.013	109.589,0.013
1.472,6.018	124.538,0.816	0.015,382.327
25.081,0.018	89.492,0.018	0.368,80.843
0.178,1.337	16.612,0.018	0.003,80.420
1.563,0.933	108.048,0.012	0.121,59.865
321.350,0.024	0.095,36.298	5.021,36.298
7.919,1.201	64.392,0.026	0.090,98.914
0.893,0.812	63.851,0.088
0.731,0.414	67.375,0.048	0.009,38.172
11.397,0.118	352.692,0.003
57.276,0.210	57.276,7.330	0.019,413.168
23.792,0.929	0.009,90.185
33.015,0.043	0.006,145.966
0.738,4.313	64.801,0.063	0.011,104.155
0.057,6.324	3.909,0.083	0.032,316.321
4.076,2.288	329.474,0.042	0.052,159.469
0.802,0.076	57.375,0.001
140.787,0.034	140.787,1.029	0.042,67.822
6.888,0.434	195.567,0.008	0.087,29.902
0.797,2.505	61.008,0.094	0.012,214.809
10.088,0.162	103.932,0.002	10.088,11.499
87.882,0.028	0.024,82.279	1.296,82.279
85.447,0.004	0.013,0.391	0.013,26.271
53.468,0.153	0.031,776.642
162.086,0.052	0.641,87.577	2.058,87.577
17.862,0.121	0.004,99.820
399.711,0.026	2.747,47.063
1.185,8.213	87.490,0.168	0.037,82.034
1.230,12.638	23.873,0.152	0.050,149.033
0.205,88.215
535.409,0.071	0.245,50.311
0.580,1.740	42.337,0.046	0.008,113.263
8.135,0.071	8.135,5.695	0.002,120.574
10.887,2.459	204.965,0.107	0.185,28.700
228.877,0.739	0.918,242.644
0.084,3.327	7.927,0.094	0.009,79.251
23.533,0.110	0.070,80.469
0.114,1.614	0.002,146.876
28.617,0.078	0.009,85.888
5.897,0.033	215.745,0.033	0.075,18.850
281.814,0.086	3.473,38.663
2.934,1.646	96.492,0.222	96.492,12.443	0.036,92.106
552.277,0.031	0.229,190.986
58.622,0.278	58.622,5.719	0.027,282.841
26.253,0.248	26.253,19.479	0.213,446.045
13.861,0.305	323.132,0.305	0.225,0.921	0.225,50.653
165.117,0.087	0.234,94.082
0.206,2.348	0.003,68.973
2.414,1.812	31.572,0.019	0.043,64.639
135.019,0.076	0.096,90.252	6.780,90.252
1.640,6.262	50.647,0.069	0.020,341.304
146.444,0.124	0.076,7.642	0.076,189.177
1.219,0.169	49.274,0.169	0.025,41.636
153.965,0.115	153.965,1.675	2.274,91.506
0.766,1.935	70.684,0.021	0.141,119.044
53.801,0.146	0.187,236.242
0.721,0.318	45.220,0.007	0.013,23.826
3.999,1.713	85.125,0.021	0.041,53.326
5.945,0.001	274.581,0.001
20.146,3.899	0.024,136.844
0.721,1.418	37.180,0.105	0.008,113.107
3.835,1.025	61.539,0.053	0.055,96.377
1.052,0.300	23.180,0.007	0.423,27.667	9.310,27.667
6.210,0.044	63.973,0.044	0.213,97.094
0.255,1.100	0.006,81.252
0.289,1.333	0.008,95.865
375.588,0.015	0.153,47.788
1.684,1.812	151.395,0.090	0.034,77.521
3.352,3.585	54.902,0.041	0.044,259.252
3.072,4.264	110.313,0.062	0.755,134.341
2.588,0.576	87.744,0.015
0.364,3.107	25.138,0.817	0.009,98.008
7.096,0.037	166.500,0.037	0.123,2.765	0.123,143.740
5.127,0.178	287.997,0.178	0.100,88.975
12.207,0.750	211.224,0.750	0.292,113.669
1.340,7.688	108.332,0.131	0.018,118.404
1.254,5.217	39.210,0.053	0.013,232.022
161.758,0.055	0.049,44.147	3.271,44.147
95.877,1.662	0.493,632.187
2.883,1.853	247.506,0.072	0.047,167.185
1.073,0.818	97.453,0.011	0.082,36.816
8.163,0.113	128.678,0.002
0.246,0.188	14.706,0.002
0.586,0.137	53.265,0.137	0.006,215.560
102.940,0.712	0.076,394.434
0.530,2.942	40.531,0.089	0.016,207.247
1.434,2.239	103.006,0.130	0.122,171.217
4.695,1.375	394.066,0.082	0.087,36.909
1.470,0.804	49.427,0.048	0.050,76.646
5.285,1.176	37.374,0.023	0.072,81.026
108.253,0.155	0.135,291.448
0.049,1.803	0.001,168.188
0.387,0.248	33.206,0.003
14.741,1.294	0.335,110.307
5.492,1.659	160.941,0.020	0.056,127.386
181.720,2.185	0.024,11.643	0.024,275.469
92.796,0.064	0.036,3.777	0.036,218.277
11.634,0.239	121.255,0.239	0.685,265.458
3.278,1.911	158.947,0.032	0.055,114.492
1.257,0.768	55.727,0.169	0.069,57.786	3.048,57.786
121.236,1.119	0.046,177.553
2.047,1.608	145.974,0.021	0.040,71.005
16.129,0.022	163.661,0.022	0.243,63.674
3.026,2.137	60.413,0.024	0.036,155.333
16.918,0.049	0.002,115.619
3.817,1.845	287.629,0.339	0.059,118.541
3.328,2.637	111.099,0.057	0.155,28.972
4.465,3.936	165.887,0.055	0.278,258.269
117.822,0.018	1.777,102.394
0.629,7.263	59.581,0.093	0.023,92.542
1.509,7.034	99.234,0.129	0.070,285.807
146.265,0.013	1.536,66.721
1.680,0.592	25.147,0.008	0.032,46.000
50.912,0.119	50.912,9.226	0.013,254.536
0.122,4.108	0.002,129.290
20.130,0.385	90.749,0.385	20.130,25.789	90.749,25.789	4.807,110.103
3.930,0.037	215.416,0.001
0.465,0.947	32.557,0.022	0.010,41.238
2.094,2.574	113.383,0.044	0.063,157.172
1.939,5.596	107.389,0.096	0.032,75.512
1.587,1.073	55.424,0.031	0.049,52.046
1.611,2.643	133.611,0.084	0.240,173.938
14.712,0.875	468.108,0.875	0.213,116.970
0.890,0.710	51.954,0.012	0.017,33.497
0.042,105.501
176.283,0.558	0.061,2.120	4.240,2.120	0.061,66.874	4.240,66.874
12.536,0.091	0.003,86.245
0.114,1.496	0.016,26.995
6.314,2.367	493.909,0.920	0.147,47.116
679.573,0.009
148.276,0.740	0.017,311.430
1.437,1.851	107.486,0.290	0.030,141.646
4.587,0.852	436.426,0.010	0.341,78.872
1.486,3.410	43.736,0.072	0.016,119.548
0.315,2.126	29.688,0.040	0.012,138.316
2.426,2.532	231.851,0.106	0.024,58.502
1.342,4.458	51.328,1.639	0.015,257.480
0.334,1.600	22.396,0.028	0.032,115.872
4.596,3.211	125.333,0.056	3.620,136.821
32.997,0.127	0.022,155.418
200.440,0.180	200.440,5.512	0.058,78.970
3.730,0.079	108.293,0.079	0.071,3.456	0.071,147.245
1.522,4.351	28.508,0.097	0.021,91.829
114.789,0.646	0.139,251.704
2.108,0.067	30.563,0.067	0.031,45.379
0.087,6.545	0.001,220.404
5.906,3.756	268.146,0.048	0.530,201.790	24.066,201.790
119.105,0.276
4.428,1.141	214.339,0.016	0.045,29.458
3.834,5.865	105.171,0.227	0.105,38.058
1.854,3.220	27.766,0.215	0.033,130.394
179.187,0.522	0.035,76.422
0.670,4.899	56.322,0.135	0.073,457.636	6.143,457.636
2.512,2.045	80.719,0.023	0.028,113.897
104.053,0.037	6.318,122.919
0.098,0.271
123.373,0.019
0.387,0.129	23.967,0.004	0.387,10.576
2.286,4.350	74.504,0.078	0.218,102.362
143.057,0.073	0.103,138.514
103.939,0.103	103.939,8.616	2.328,311.218
1.769,0.272	38.626,0.014	1.769,21.460
98.835,0.406	0.121,123.279
10.281,1.673	137.155,0.024	0.549,33.174
0.594,1.822	0.013,165.013
410.155,0.211	0.985,7.771	0.985,86.613
79.582,0.213	79.582,13.154	0.015,381.400
1.585,1.631	115.980,0.029	0.354,95.351
111.461,0.210	111.461,6.944	2.430,267.076
241.142,0.075
22.804,0.150	0.004,10.218	0.004,207.392
1.057,3.446	103.748,0.050	0.204,332.589
0.949,0.543	85.958,0.006	0.054,46.539
1.328,0.218	132.423,0.002
105.699,0.255	0.080,17.143	0.080,571.623
0.455,2.302	25.134,0.029	0.012,121.489
0.324,4.756	24.679,0.618	0.015,65.819
308.148,0.040	308.148,2.423	0.292,64.691	5.365,64.691
109.684,0.069	109.684,2.553	0.021,90.923
120.271,0.161	0.039,5.664	0.039,68.774
0.392,5.846	28.946,0.106	0.005,168.968
106.848,0.018	0.315,156.778
105.104,0.023	0.019,155.356	1.180,155.356
74.147,0.007
112.003,0.426	0.041,128.444
1.481,2.292	50.472,0.037	0.019,84.966
0.586,0.464	41.736,0.005	0.010,43.951
255.469,0.106	255.469,8.692	0.067,545.239
4.768,1.581	220.499,0.088	0.054,102.555
4.851,1.993	94.203,0.058	0.224,122.488
0.207,0.019	19.948,0.019
