5.601,0.028	157.128,0.028	0.217,46.324
2.294,1.845	126.256,0.028	0.026,130.170
47.096,1.186	0.768,26.753
117.519,0.384	0.188,655.351
3.495,1.335	126.404,0.028	0.189,41.869	6.829,41.869
5.982,0.016	99.429,0.016	0.152,15.927
4.531,2.086	53.816,0.031	0.053,101.917
3.162,1.350	189.875,0.111	0.040,112.064
96.809,0.185	0.127,2.934	0.127,184.257
117.414,0.149	0.079,89.204	7.838,89.204
0.323,0.836	24.075,0.027	0.021,57.563
0.116,10.852	0.116,94.014
2.397,1.755	104.971,0.019	0.055,147.372
4.917,2.209	243.225,0.046	0.099,207.559
135.891,0.299	0.050,10.441	0.050,639.120
63.403,0.175	1.212,423.576
312.090,1.160	0.214,121.852	9.408,121.852
8.311,0.042	88.145,0.042
209.102,2.260	209.102,3.435	0.163,134.049
15.711,0.072	0.005,3.191	0.005,56.213
70.927,0.038	0.052,0.942	0.052,87.605
0.478,0.556	41.935,0.006	0.017,39.535
2.761,7.118	73.639,0.167	0.158,63.954
0.858,0.067	74.608,0.001
0.474,1.561	31.674,0.022	0.024,119.130
82.626,0.079	82.626,3.595	0.014,229.004
1.908,1.448	57.913,0.208	0.038,38.045
282.368,0.060	0.375,81.402	9.879,81.402
6.653,0.003	308.672,0.003	0.346,18.655
2.378,0.588	59.275,0.009	0.041,42.541
282.492,1.717	0.051,122.485
145.305,0.285	145.305,3.763	0.064,176.962
1.001,0.488	78.275,0.013	0.371,47.377
57.021,0.694	0.034,823.637
104.938,0.030	0.027,106.698
1.984,1.805	84.343,0.030	0.043,121.282
384.399,0.027	0.619,47.180	5.626,47.180
1.026,0.382	89.236,0.008	0.015,36.299
1.409,0.970	80.113,0.221	0.553,26.202
3.559,0.344	173.743,0.344	0.074,103.514
163.850,0.037	0.089,112.975
2.237,2.342	180.071,0.201	0.023,137.185
27.395,0.262	0.032,163.850
3.848,0.059	372.069,0.059	0.266,113.745
75.801,0.223	0.041,6.199	0.041,169.601
2.846,2.073	116.730,0.038	0.238,83.525
1.496,1.794	139.209,0.136	0.025,136.942
0.452,0.235	43.240,0.007	0.067,22.165
2.474,2.781	66.085,0.040	0.132,100.163
0.129,2.166	8.847,2.166	0.004,99.693
202.673,0.105	0.329,7.527	0.329,387.650
248.749,0.022	248.749,1.122	0.051,32.722	4.753,32.722
1.000,5.374	86.892,0.069	0.011,230.612
0.621,6.552	35.055,0.098	0.011,272.534
157.574,0.016	2.133,108.618
259.717,0.376	0.543,287.758
2.590,1.226	132.777,0.029	0.099,83.572	5.099,83.572
1.537,0.520	69.897,0.006	0.024,37.293
54.776,0.041	0.247,94.572
3.254,0.070	138.706,0.070	0.125,2.620	0.125,90.258
224.854,0.006	1.132,39.925
1.717,0.134	98.010,0.002	0.022,7.724
222.858,0.098	0.233,123.968
139.831,0.338	2.535,683.679	14.891,25.546
0.383,2.022	37.949,0.025	0.004,135.825
635.985,0.027	0.086,38.535	7.688,38.535
74.556,0.137	74.556,3.107	0.051,265.920
3.161,0.021	212.176,0.021	0.055,114.587
201.120,0.389	0.035,100.421	2.798,100.421
8.541,0.014	57.583,0.014	0.186,133.882
2.059,5.488	121.553,0.093	0.033,178.927
3.280,0.370	251.286,0.007	3.280,7.439
0.272,0.098	20.473,0.005
0.828,11.290	63.793,1.502	0.025,86.944
52.241,0.449	0.011,447.567
0.263,1.910	15.771,0.019	0.006,129.652
1.402,0.738	117.599,0.014	0.021,54.642
169.366,0.033	6.240,186.919
0.420,0.738	34.852,0.019	0.006,30.974
2.632,6.722	126.208,0.113	0.037,246.781
0.988,0.006	43.892,0.006
4.861,1.202	339.537,0.026	0.112,61.065	7.791,61.065
0.475,1.960	31.292,0.034	0.015,48.581
2.030,2.826	175.653,0.034	0.026,45.549
1.773,0.044	156.819,0.044	0.023,277.857
633.111,0.011
364.992,0.002	0.062,19.318	4.505,19.318
169.234,0.070	169.234,3.924	1.120,190.250
0.946,0.264	70.924,0.003	0.019,19.139
222.239,0.027	0.074,93.938
11.826,0.143	240.702,0.143	0.186,289.251
1.257,0.275	56.257,0.005	0.013,23.665
0.541,2.290	38.857,0.390	0.017,94.418
182.084,0.013	0.115,81.812
1.978,1.247	159.202,0.022	0.049,16.494
25.763,0.341	0.030,122.621
655.398,0.712	0.110,599.996
54.770,0.252	54.770,8.229
2.310,4.013	219.394,0.050	0.030,126.624
2.210,2.902	0.922,32.678
1.317,6.774	123.792,0.114	0.015,76.043
1.025,0.027	91.709,0.000
243.976,0.476	0.051,353.235
0.015,3.095	0.015,272.010
6.356,2.717	416.367,0.066	0.986,207.050
124.617,0.047	124.617,3.015	0.351,210.360
1.032,0.916	77.051,0.012	0.024,86.710
0.026,138.289
122.786,0.034	0.456,177.408
2.994,0.017	214.041,0.017	0.059,42.182
0.984,0.713	46.437,0.042	0.015,27.359
119.723,0.047	0.024,60.785
138.125,0.032	138.125,2.310	0.022,77.432
1.340,1.117	42.658,0.279	42.658,18.201	0.029,72.772
7.787,2.497	320.008,0.030	0.113,102.628
222.347,0.249	0.030,11.073	0.030,154.110
241.915,0.018	0.397,17.315
570.191,0.037	0.164,109.242	7.866,109.242
149.548,0.038	0.142,76.313
526.566,0.907	0.136,220.793	7.842,29.944
0.621,3.045	58.278,0.044	0.010,135.565
0.632,0.025	61.878,0.025	0.007,53.013
71.769,0.044	0.311,33.083
52.164,0.075	0.010,5.952	0.010,241.587
6.565,0.194	186.968,0.011	6.565,13.992
0.470,4.133	19.745,0.042	0.008,258.749
62.817,0.032	62.817,2.881	0.014,203.893
0.724,1.439	47.197,0.019	0.012,59.605
54.432,1.912	0.007,152.409
1.851,2.751	104.554,0.158	0.132,195.947
113.143,0.382	0.025,54.635	1.851,54.635
1.914,1.065	71.745,0.021	0.749,34.886
2.312,1.492	160.676,0.036	0.251,136.126
52.869,0.732	0.015,172.882
0.118,0.534	8.206,0.024	0.002,37.890
5.329,0.091	312.915,0.091	0.056,73.458
55.468,0.005	0.051,16.030
2.552,0.015	80.804,0.015	0.113,29.379
41.180,0.016	0.389,56.253
1.815,0.461	110.984,0.005	0.038,15.443	2.316,15.443
56.845,0.775	0.047,9.193	1.206,9.193	0.047,472.478	1.206,472.478
0.897,1.547	62.955,0.019	0.010,32.745
66.285,0.231	0.009,15.424	0.009,63.017
3.020,0.334	207.282,0.334	0.069,328.654	4.753,7.710
0.675,1.299	40.293,0.352	0.203,78.530	12.134,21.302
2.176,5.349	118.333,0.245	0.039,392.314
0.403,1.299	32.616,0.045	0.004,82.347
336.682,0.050	0.537,224.178
33.355,0.330	0.025,11.087	0.025,38.687
0.776,3.274	69.994,0.072	0.012,83.763
104.989,0.044	0.038,64.096	1.090,64.096
3.447,4.180	279.885,0.066	0.188,233.682
765.394,0.189	765.394,2.886	1.433,277.451
11.001,0.065	325.528,0.065	0.433,91.057
181.769,0.115	0.124,84.111
0.005,258.295
100.313,0.740	0.116,5.652	0.116,62.472
586.737,0.087	1.974,426.223
0.541,0.942	53.677,0.053	0.007,42.191
0.778,0.572	71.290,0.037	0.010,49.547
22.365,0.904	0.020,266.925
35.748,0.302	0.027,9.350	0.027,237.050
2.401,3.508	210.997,0.058	0.051,277.411
35.965,0.456	0.111,15.301	4.756,15.301	0.111,76.441	4.756,76.441
118.169,0.276	0.061,8.517	0.061,129.237
1.255,1.201	98.113,0.015	0.019,52.639
2.458,0.717	219.100,0.021	2.033,55.285
1.878,0.400	105.501,0.034	0.026,37.445
1.273,0.267	87.440,0.012	0.160,22.555
0.202,4.024	19.377,0.055	0.002,48.988
257.021,0.181	0.050,10.556	0.050,126.009
0.495,3.978	44.808,0.058	0.005,195.673
2.855,0.765	151.184,0.011	0.103,65.231
135.696,0.463	0.029,596.259
741.926,0.005	0.218,0.467	0.218,36.824
103.954,0.107	0.021,252.590
0.027,1.405	0.001,67.283
5.546,0.191	298.008,0.006
416.561,0.107	0.205,32.282	8.069,32.282
1.295,2.317	87.679,0.027
239.401,0.034	2.513,236.753
14.219,0.239	433.214,0.013
0.047,14.528	0.047,178.017
70.967,0.006
326.521,0.023	326.521,0.796	0.914,29.194
11.374,0.203	661.645,0.203	0.254,269.120
5.665,0.004	122.762,0.004	0.059,22.679
263.456,0.045	0.066,90.212
55.589,0.071	0.142,78.635
2.404,0.316	210.887,0.005	0.029,14.098
445.301,0.027	0.105,220.681	6.073,220.681
1.306,2.776	108.098,0.033	0.058,261.801	4.830,261.801
139.382,0.603	0.735,63.531
370.486,0.007	0.081,38.145	6.607,38.145
8.232,0.245	202.852,0.006	0.288,9.533
0.539,1.766	31.520,0.071	0.010,102.714
3.930,4.760	202.737,0.073	0.123,392.187	6.368,392.187
108.833,0.056	0.208,99.244	12.357,99.244
166.564,0.017	0.104,80.028
110.989,0.233	0.118,294.069
1.189,7.150	108.800,0.141	0.021,307.473
199.870,0.190
1.085,1.555	106.505,0.032	0.018,81.643
179.381,0.044	0.570,232.406
95.364,0.042	0.086,88.592	2.430,88.592
0.510,0.002	41.885,0.002
0.712,0.838	62.549,0.014	0.015,57.971
0.512,0.484	44.323,0.048	0.013,30.650
0.699,2.039	69.760,0.242	0.033,180.300
1.452,0.201	124.029,0.005
12.854,0.026	283.067,0.026	0.245,211.340
2.938,2.357	75.390,0.045	0.422,159.884
73.723,0.186	0.064,237.580	1.743,237.580
0.053,0.767	0.001,50.236
1.133,2.996	112.235,0.032	0.031,237.752
184.941,0.004
3.798,5.466	56.888,0.247	0.045,62.985
0.001,183.788
1.304,3.949	111.817,0.045	0.201,305.266
3.728,0.847	131.184,0.049	0.039,44.057
0.981,1.515	59.861,0.049	0.139,48.169
1.898,0.089	35.967,0.089	0.104,7.051	0.104,289.720
114.653,0.038	0.114,73.464	1.552,73.464
171.981,0.051
2.491,0.013	77.801,0.013	0.258,42.822
0.092,0.595	0.002,48.117
83.551,0.184	0.043,448.295
1.229,0.081	93.240,0.081	0.036,110.892
0.120,0.963	0.008,89.305
0.664,0.380	51.732,0.380	0.020,74.598
1.795,0.426	39.015,0.033	0.034,39.760
1.146,0.809	87.078,0.010	0.080,76.584
11.853,0.069	138.808,0.069	0.169,62.734
1.045,0.591	98.952,0.046	98.952,3.950	0.029,50.757
79.725,0.010	0.039,52.572
102.071,0.001
0.143,0.702	11.184,0.702	0.092,39.296	7.192,39.296
136.991,0.156	0.195,7.837	0.195,371.575
52.715,1.762	0.018,786.272
18.982,0.055	0.128,84.701
1.322,0.446	93.852,0.006	0.054,18.001
0.011,3.745	0.011,161.390
0.700,0.418	28.149,0.011	0.256,39.975
0.961,1.399	73.701,0.047	73.701,3.662	0.018,107.875
0.684,0.609	63.650,0.007	0.061,14.346	5.677,14.346
1.340,2.509	94.465,0.036	0.025,67.868
2.747,0.700	104.957,0.009	0.080,36.279
22.514,0.241	0.010,5.510	0.010,505.162
1.589,0.736	153.320,0.033	0.075,67.340
21.978,0.645	0.013,117.520
2.048,6.506	43.398,0.074	0.037,166.349
0.317,0.243	22.506,0.003	0.012,23.777
60.199,0.329	0.010,293.649
45.802,0.025	0.044,101.354
181.080,0.020	0.166,16.003	5.751,16.003
617.447,0.051	0.098,166.605
0.397,2.562	32.200,0.026	0.005,215.395
64.304,0.293	0.033,9.193	0.033,317.662
2.666,1.790	181.150,0.028	0.028,93.225
66.096,0.340	0.013,535.774
1.236,4.659	67.944,0.341	0.013,249.328
0.561,1.410	27.705,0.019	0.007,126.383
1.297,2.031	120.353,0.031	0.014,80.121
1.027,1.175	75.760,0.015	0.014,85.330
0.017,242.710
89.273,0.375	0.017,137.794
1.220,4.037	44.525,0.052	0.017,200.075
0.521,0.754	40.686,0.012	0.009,55.375
107.373,0.352	0.135,141.445
0.846,5.342	39.778,0.161	0.013,197.827
197.907,0.268	0.024,87.582
0.466,0.455	36.737,0.008	0.009,41.882
1.150,0.222	80.267,0.003	0.014,15.004
1.117,0.134	105.955,0.011	1.117,10.360
2.359,0.449	122.817,0.010	0.032,27.665
2.593,0.338	58.654,0.047	58.654,3.567	0.167,25.426
0.873,2.078	85.398,0.022	0.063,78.853
119.715,0.033	0.180,218.242	3.479,218.242
2.846,3.381	143.301,0.061	0.049,148.498
90.327,1.197	0.027,114.503
0.253,1.528	0.021,91.374
131.267,0.255	0.021,74.649
5.955,0.188	59.427,0.002	1.559,13.464
2.367,0.687	98.140,0.060	0.042,59.695
2.359,1.484	89.024,0.021	0.156,32.345
243.200,0.363	0.131,347.729
40.674,0.268	0.043,14.718	0.043,334.344
0.219,1.050	16.620,1.050	0.008,59.940
7.345,0.691	141.221,0.011	0.473,66.477
1.626,2.145	89.024,0.029	0.072,32.345
531.143,0.222	0.324,128.433	17.757,9.350
108.586,0.038	0.016,37.014	1.225,37.014
2.182,0.837	104.494,0.010	0.068,49.315
2.152,0.817	68.305,0.019	0.023,44.142
0.694,1.239	32.739,0.040	0.019,109.177
60.044,0.220	0.021,182.327
107.254,0.018	107.254,0.738	1.422,23.559
90.151,0.040	0.028,3.602	0.028,126.773
155.380,0.410	0.105,8.257	0.105,54.761
36.861,0.160	0.012,4.656	0.012,54.921
3.234,6.090	56.010,0.066	0.060,535.627
245.356,0.031	0.159,144.480
0.121,0.617	0.003,40.987
567.305,0.060	0.183,63.571
0.676,0.377	62.335,0.006	0.010,20.797
97.059,0.050	97.059,1.257	0.156,77.912
1.287,0.071	48.217,0.002
468.243,0.822	1.327,55.910	6.888,55.910
0.346,3.338	0.015,69.024
23.667,0.860	0.011,466.416
1.984,0.067	57.913,0.067	0.037,6.656	0.037,161.642
0.316,197.156
0.935,3.247	60.571,0.076	0.012,137.159
1.970,1.534	194.036,0.016	0.025,90.469
0.705,0.076	52.049,0.001
0.545,2.121	53.928,0.025	0.094,97.979
1.895,2.645	86.027,0.077	0.032,236.720
3.277,0.954	211.100,0.013	0.056,66.437
81.892,0.397	0.010,543.000
0.789,1.976	38.075,0.053	0.009,114.253
1.215,3.260	106.478,0.082	0.099,315.052
171.739,0.346	0.167,124.064
1.975,1.510	90.047,0.017	0.025,129.361
0.739,1.737	54.382,0.026	0.028,159.003
64.942,0.311	64.942,5.941	0.012,99.553
362.972,0.442	0.094,112.092
241.287,0.027	4.868,112.007
2.685,1.732	61.719,0.057	0.072,22.694
29.612,0.180	0.007,3.897	0.007,64.357
2.335,1.654	204.336,0.039	0.034,119.664
0.448,1.319	36.176,0.016	0.389,84.454
0.379,0.764	35.060,0.035	35.060,3.278	0.010,71.402
5.704,0.103	22.040,0.103	0.057,209.546
122.455,2.462	0.117,192.531
72.378,0.151	0.028,190.443	2.159,190.443
2.497,0.689	79.215,0.055	79.215,5.244	0.029,65.771
0.408,3.117	32.696,0.039	0.017,189.208
4.979,0.521	69.592,0.521	0.125,4.858	0.125,242.008
6.910,0.924	633.140,0.027	0.139,52.200
2.522,2.477	89.199,0.102	0.056,81.144
70.953,0.806	0.011,86.517
73.411,0.160	0.522,98.028	25.794,4.104
3.367,0.066	313.950,0.066	0.057,82.959
448.270,0.141	448.270,10.506	0.346,272.426
9.859,2.601	277.720,0.031	0.458,245.689
4.536,0.272	117.609,0.003	0.057,22.263
802.082,0.025	0.303,69.164
4.624,3.497	319.822,0.147	0.062,156.497
0.498,1.381	41.479,0.031	0.006,111.051
22.406,0.101	0.003,9.499	0.003,83.732
6.148,0.834	266.599,0.009	0.253,62.692
0.900,1.727	73.413,0.107	0.016,166.671
8.125,0.059	184.576,0.059	0.144,425.861
0.214,1.081	7.629,1.081	0.007,54.153
1.099,1.902	77.483,0.023	0.014,147.080
0.451,0.913	20.835,0.014	0.012,87.341
6.158,1.113	162.075,1.113	0.122,10.468	0.122,452.979
14.855,0.084	434.708,0.084	0.490,51.168
0.806,1.286	0.066,90.261
1.375,6.795	27.069,0.130	0.284,138.508
0.039,610.763
0.670,0.877	36.670,0.018	0.009,42.579
1.091,3.489	38.357,0.061	0.012,213.703
124.330,1.271	0.020,173.141
1.250,0.504	110.823,0.006
3.863,0.959	102.782,0.016	0.498,61.792
0.400,4.851	28.553,0.077	0.053,78.120
4.116,0.001	127.337,0.001
85.677,0.929	0.022,85.509
51.377,0.070	0.041,54.937
0.003,3.095	0.003,296.828
6.716,0.619	28.440,0.010	0.087,50.210
0.432,1.125	16.204,0.030	0.017,109.875
2.599,1.828	138.221,0.056	0.031,130.347
8.051,0.023	103.589,0.023
234.728,0.048	0.067,119.430	3.511,119.430
1.610,0.357	122.320,0.005	0.786,19.584
0.310,0.955	26.619,0.054	0.003,28.279
1.930,2.321	118.218,0.046	0.022,70.948
4.818,0.044	52.653,0.044	4.818,4.220	52.653,4.220	0.165,112.101
11.729,0.132	0.148,10.285	8.295,10.285	0.148,111.433	8.295,111.433
2.042,1.492	134.249,0.019	0.220,76.589
2.276,1.706	165.215,0.029	0.042,102.901
4.343,0.010	103.507,0.010	0.463,17.726
244.313,0.005
157.814,0.046	0.113,143.894	3.592,143.894
211.108,0.007	0.139,70.346
139.665,0.021	0.303,36.551	8.639,36.551
61.655,0.055	0.015,31.633	0.988,31.633
90.704,0.011	0.018,0.965	0.018,81.792
5.377,4.874	219.216,0.367	0.087,97.453
20.813,0.767	20.813,17.090	0.004,659.087
1.366,0.660	51.535,0.012	0.048,36.169
0.396,0.140	28.477,0.010
0.003,144.877
1.743,1.982	116.592,0.026	0.019,134.028
47.009,0.077	0.038,5.179	0.038,121.593
68.505,0.667	0.013,505.187
0.604,2.544	50.236,0.030	0.039,83.155
131.530,0.101	131.530,4.288	0.265,113.146	10.727,113.146
2.295,0.990	129.492,0.028	0.082,46.395	4.653,46.395
0.488,0.621	25.646,0.015	0.010,60.890
580.829,0.038	0.079,80.323	7.683,80.323
12.720,5.382	0.014,89.041
0.588,0.258	48.001,0.008
0.706,0.198	68.387,0.005	0.032,12.319
0.863,1.616	80.237,0.458	0.069,138.675	6.440,138.675
0.653,1.658	57.528,0.054	0.010,160.801
124.691,0.096	0.082,454.984
0.028,3.940	0.028,113.058
127.759,0.034	127.759,3.181	0.291,98.761
1.903,0.071	105.403,0.071	0.496,136.434
366.230,3.617	0.119,222.105	7.456,222.105
1.601,3.062	76.151,0.156	0.024,142.567
69.209,0.043
1.889,9.001	168.497,0.104	0.033,300.928
3.114,0.051	121.286,0.051	0.066,144.513
0.725,8.663	48.880,0.143	0.014,85.070
0.093,4.605	0.002,136.896
306.881,0.314	0.769,717.501
5.985,1.402	114.338,1.402	0.081,312.540
0.261,1.949	16.381,0.023	0.008,94.183
0.976,1.140	25.736,0.176	0.034,52.337
1.138,1.314	96.362,0.023	0.019,39.842
3.919,0.440	26.722,0.082	3.919,16.957
0.400,4.425	39.307,0.260	0.009,89.379
147.632,0.013	0.297,48.785
168.223,0.459	0.025,8.262	1.789,8.262	0.025,733.028	1.789,733.028
133.678,4.004	0.381,234.993	20.730,68.805
0.524,0.597	19.360,0.020	0.010,54.721
3.730,2.082	237.095,0.037	0.049,141.711
0.869,2.493	67.319,0.033	0.011,45.366
4.782,0.183	150.718,0.004
1.852,2.378	112.052,0.036	0.019,199.006
0.820,0.388	24.400,0.004	0.010,16.607
192.860,0.008	0.163,23.303
596.198,0.080	596.198,1.181
165.708,0.040	0.102,198.106
72.595,0.198	0.020,124.924
123.701,0.077	0.043,7.154	0.043,178.759
0.589,0.088	57.891,0.001
0.749,0.218	66.135,0.218	0.292,98.894
0.080,0.425	7.457,0.425	0.003,36.771
3.309,0.289	207.326,0.006
2.931,0.049	53.032,0.015
0.439,5.847	28.968,0.441	0.007,50.532
1.495,0.862	108.328,0.015	0.016,58.111
4.286,0.164	125.490,0.004
188.803,0.011
4.425,0.328	94.840,0.328	0.165,165.580
0.060,4.235	0.002,94.014
221.150,0.981	0.042,8.377	0.042,446.436
14.059,0.279	0.050,196.709
3.190,0.094	220.720,0.094	0.068,29.448
0.467,0.014	42.321,0.000
359.993,0.030	0.326,73.434
0.992,2.148	68.514,1.186	0.014,164.828
0.667,0.811	64.954,0.026	0.127,71.206	12.333,71.206
6.499,1.773	183.072,0.149	0.082,80.725
0.606,3.423	25.627,0.182	0.007,165.130
3.450,0.574	162.416,0.049	0.039,47.218
138.062,0.361
0.002,4.114	0.002,351.268
187.198,0.127	0.045,11.751	2.921,11.751	0.045,593.022	2.921,593.022
179.032,0.055	0.042,5.157	0.042,313.894
307.485,0.033
5.414,0.223	209.764,0.007
195.593,0.015	0.697,58.703	2.989,58.703
393.529,0.891	0.050,319.844
2.780,1.558	104.014,0.016	0.080,151.826
0.448,3.082	34.944,0.129	0.005,228.728
172.346,0.007	0.212,30.627	5.199,30.627
80.730,0.193	80.730,10.149	0.011,296.823
118.313,0.041	0.069,4.005	0.069,58.600
1.452,1.406	91.388,0.020	0.022,67.191
9.686,0.850	546.758,0.850	0.098,126.300
0.322,1.109	31.447,0.138	0.003,57.192
0.011,121.193
88.129,0.055	88.129,0.868	0.018,84.512
1.964,2.974	115.818,0.166	0.086,114.377
104.697,0.118	0.033,313.590
0.778,0.162	21.477,0.005	0.010,13.516
0.430,0.702	32.763,0.008	0.007,39.446
2.743,0.422	98.717,0.184	0.070,33.185
1.754,5.190	89.199,0.097	0.022,299.032
1.464,2.235	109.067,0.025	0.050,73.616
2.764,2.076	203.954,0.051	0.050,58.496
61.728,1.664	0.093,12.487	0.093,188.777
23.350,0.214	23.350,4.265	0.043,141.091
546.758,0.021	0.558,126.300
397.489,0.163	0.140,56.114
872.241,0.076	1.590,4.366	1.590,236.008
164.660,0.018	0.054,0.993	0.054,71.886
15.883,0.014	15.883,0.914	0.003,75.509
2.774,0.540	210.644,0.006	0.037,39.501
1.535,0.097	138.757,0.021
234.967,0.003	0.391,19.309
25.317,12.414	0.023,28.078
0.112,2.107	0.002,185.722
103.974,0.136	0.047,167.896
338.939,0.055	0.473,186.406
46.184,0.028	2.734,139.387
137.099,0.285	0.258,72.922
101.108,0.014
1.220,0.027	104.197,0.000
149.088,0.373	0.049,74.326
1.418,1.890	99.476,0.026	0.080,138.644	5.606,138.644
1.360,0.076	78.087,0.002
1.083,1.534	85.587,0.015	0.017,120.519
8.848,6.140	664.384,0.082	1.368,218.128
56.802,0.880	0.107,224.796
1.901,0.620	88.353,0.007	0.030,56.127
1.129,2.795	41.040,0.045	0.072,129.402
19.560,0.162	0.014,13.378	0.014,108.153
0.566,0.816	43.489,0.022	0.021,66.168
139.693,0.507	0.028,89.527	1.813,89.527
5.151,0.039	241.459,0.039	0.054,80.330
6.816,0.676	291.230,0.013	0.090,60.508
462.443,0.018
408.944,0.149	0.090,75.990
2.166,1.058	159.443,0.017	0.080,98.374	5.866,98.374
10.088,0.153	194.361,0.153	0.155,175.899
4.375,3.537	161.694,0.131	0.134,55.345
1.040,2.042	74.358,0.130	0.026,102.377
319.406,0.025	7.893,2.209	175.898,2.209
48.796,0.093	48.796,1.788	0.016,98.930
2.603,0.096	199.099,0.096	0.026,124.812
6.065,1.422	461.104,0.191	0.074,53.259
1.814,0.864	153.256,0.013	0.476,33.955
93.065,0.658	0.043,132.821
0.190,1.011	12.086,1.011	0.006,98.368
3.331,0.642	109.963,0.049	0.107,21.078
58.788,0.036	0.245,115.494
155.809,0.464	0.340,101.680	6.548,28.610
1.369,0.004	83.775,0.004
195.545,0.006	0.067,31.799	2.133,31.799
1.136,0.074	99.870,0.002	1.136,5.439
2.787,0.092	166.817,0.092	0.028,98.187
1.937,0.035	85.058,0.035	0.026,53.871
5.293,0.944	89.985,0.066	0.259,56.008
153.731,0.309	0.024,38.933
121.174,0.036	0.098,101.848
