1.267,1.095	94.545,0.016	0.019,104.164	1.452,104.164
93.313,0.177	0.022,97.860
2.588,5.416	126.666,0.208	0.149,351.344	7.288,13.464
1.346,1.373	45.389,0.035	0.015,89.677
149.401,0.059	0.045,106.673
152.860,0.052	0.022,3.370	0.022,161.054
0.846,2.294	67.962,0.054	0.155,68.270
53.968,0.967	0.042,195.246	1.103,195.246
2.640,0.638	245.442,0.020	0.028,36.157
6.485,0.014	87.440,0.014	0.086,77.968
762.285,0.032
2.045,1.597	137.890,0.067	137.890,5.455	0.028,130.165
78.369,1.044	0.014,213.812
532.481,0.043	0.155,69.840
0.678,79.990	22.789,2.616
23.502,0.374	0.004,166.972
442.562,0.307	0.204,256.003	8.747,20.969
4.643,0.069	154.919,0.069	0.112,99.348
127.109,0.011	0.326,56.046	5.333,56.046
722.875,0.044	0.519,36.156
109.004,0.063	0.304,96.209
12.618,0.063	0.002,214.768
3.522,0.511	67.921,0.031	0.092,46.437
114.533,0.020	0.679,65.832
15.808,0.056	0.011,2.125	0.011,18.020
2.516,0.017	109.489,0.017	0.060,111.944
2.113,6.594	99.925,0.429	0.144,149.877
0.556,2.191	42.357,0.022	0.008,23.780
1.554,1.452	95.949,0.015	0.024,84.559
1.975,0.777	186.334,0.015	0.070,37.593
698.374,0.066	0.252,193.775
291.246,0.173	0.186,509.025
0.979,1.506	67.696,0.028	0.024,107.674
0.094,0.466	8.219,0.007	0.016,46.154
348.758,0.164	1.718,170.888
214.096,0.158
0.699,1.482	65.556,0.172	0.017,134.420
0.979,4.184	97.653,0.075	0.803,62.992
76.332,0.016	76.332,1.115	0.062,82.965
0.436,0.451	21.837,0.005	0.006,35.180
251.171,0.009	0.596,35.116	3.984,35.116
86.410,0.272	0.124,33.072	2.838,33.072
54.513,0.021	0.254,86.990
86.313,0.194	0.032,195.450
1.744,0.019	147.157,0.019	0.018,14.963
51.989,1.016	0.035,351.941	1.261,351.941
111.589,0.053	0.026,2.695	0.026,151.740
194.683,0.007	0.087,59.403	6.436,59.403
1.853,0.007	51.449,0.007	0.061,26.613
2.605,0.885	232.497,0.019	0.034,37.203
549.810,0.230	1.049,110.933
286.831,0.056
6.414,0.007	322.768,0.007	0.185,44.154
0.864,1.511	86.134,0.019	0.009,99.753
1.306,0.148	85.284,0.148	1.306,2.325	85.284,2.325	0.014,128.823
41.582,0.376	0.017,89.158
0.832,0.041	27.399,0.041	0.014,84.690
234.496,0.011	0.072,0.771	0.072,50.929
0.213,3.160	19.397,0.067	0.004,215.593
63.691,0.065	0.018,411.843
33.070,0.119	0.035,105.994
0.571,0.053	26.081,0.053	0.012,242.379
0.210,1.683	19.588,0.112	0.002,59.825
4.852,1.203	277.017,0.087	0.538,101.487
0.013,83.852
3.195,0.034	270.117,0.034	0.089,0.916	0.089,85.531
80.666,0.008	0.323,52.317
107.886,0.177	0.031,382.475
85.560,0.196	0.060,285.470
5.796,0.020	182.876,0.020	1.459,94.898
126.708,0.050	126.708,2.109	0.723,104.039
81.950,0.169	81.950,4.318	0.012,141.755
116.215,0.376	0.034,102.800
70.187,0.042	70.187,1.781	0.018,154.564
110.096,0.019	0.025,121.274
631.396,0.222	631.396,4.195	0.336,59.092
81.507,0.031	0.066,213.331	2.660,213.331
328.839,0.054
159.573,0.097	159.573,2.260	2.035,95.671
0.262,0.899	17.711,0.017	0.004,69.099
109.987,0.060	109.987,5.315	0.019,270.667
23.037,0.090	23.037,6.179	0.030,366.846
43.740,0.025	0.068,0.780	0.068,68.296
66.481,0.076	0.018,372.028
0.197,0.181	12.469,0.002	0.002,14.374
1.110,1.855	105.555,0.030	0.013,65.958
103.628,0.121	103.628,2.850	0.149,141.856
48.842,0.112	0.006,6.708	0.006,657.071
1.694,0.061	98.415,0.061	0.020,64.957
0.003,79.802
6.015,0.159	175.645,0.159	0.209,218.152
0.246,2.842	0.015,223.478
0.406,0.448	40.339,0.010	0.010,33.273
0.936,0.825	76.822,0.012	0.010,77.050
284.289,0.099	0.167,218.985
48.295,0.170	0.008,5.704	0.008,132.198
35.928,0.445	35.928,3.055	0.009,280.617
18.477,0.015	0.012,1.294	0.012,94.756
11.050,0.249	0.001,6.922	0.001,142.277
182.486,0.008
614.491,0.086	0.782,86.753
197.773,0.103	0.177,2.875	6.629,2.875	0.177,180.058	6.629,180.058
3.330,0.517	177.009,0.013	0.386,27.816
64.348,0.158	64.348,0.591	0.056,49.827
54.268,0.032	0.053,97.226
3.452,0.633	198.113,0.007	0.039,23.063
70.576,0.030	0.046,2.094	0.046,183.170
97.792,0.339	0.087,474.700
183.402,0.024	0.308,24.547
78.697,0.037	0.016,3.390	0.016,133.332
83.742,0.008	3.628,0.584	3.628,46.330
200.157,0.095	200.157,2.563	0.054,89.846
1.776,1.856	52.101,0.055	0.040,162.997
107.652,0.020	0.133,57.641
0.791,2.612	28.711,0.028	0.017,80.564
1.476,1.129	69.681,0.013	0.016,102.722
63.436,0.444	0.060,92.961
125.308,0.179	0.017,5.207	0.017,121.151
551.209,0.494	0.069,5.814	6.679,5.814	0.069,249.989	6.679,249.989
119.178,0.027	0.031,147.897
2.471,0.012	91.948,0.012	0.028,57.089
35.904,0.038	0.073,2.701	0.073,127.307
0.243,0.170	19.718,0.002	0.003,15.737
1.217,6.576	66.116,0.143	0.035,422.927
3.937,0.731	74.669,0.018	0.057,36.548
8.108,0.302	74.890,0.005	0.224,16.414
133.607,0.015	0.045,55.304
213.625,0.619	0.437,134.950
2.260,4.084	197.630,0.047	0.115,149.820
0.446,0.541	26.407,0.006	0.005,14.365
1.086,2.330	53.591,0.024	0.029,109.535	1.409,109.535
3.630,0.031	101.750,0.031	0.054,45.461
20.617,0.215	0.184,89.855
0.320,3.718	0.004,267.933
455.124,0.155	1.091,8.599	1.091,76.304
0.335,2.473	30.294,0.255	0.010,86.272
24.163,1.185	0.011,264.468
97.426,1.774	0.052,142.002
0.028,6.907	0.001,305.599
0.283,1.078	18.060,0.015	0.007,80.733
704.244,0.203	1.359,78.378
38.882,0.194	0.011,636.822
0.791,0.017	10.220,0.017	0.014,1.172	0.014,55.042
82.775,0.312	0.013,260.801
105.409,0.018	0.417,20.800
480.145,0.038	1.355,126.267
92.858,0.013	0.028,0.691	0.028,46.240
2.578,0.131	191.657,0.131	0.059,1.512	0.059,42.962
47.447,0.021	0.321,101.602
62.287,0.045	0.071,3.133	2.851,3.133	0.071,35.840	2.851,35.840
26.488,0.160	0.275,321.230
346.647,0.006	346.647,0.435
7.533,0.015	310.072,0.015	0.265,85.277
87.546,0.161	0.316,1.276	0.316,70.118	11.851,8.873
0.238,2.195	11.071,0.064	0.042,165.214
1.866,4.653	162.487,2.769	0.019,113.993
1.552,1.509	122.673,0.030	0.028,37.403
2.763,0.151	195.621,0.151	0.253,180.267
0.005,4.746	0.005,124.047
2.595,1.619	157.012,0.040	0.041,113.619
0.451,3.053	34.545,0.097	0.005,23.023
1.139,1.755	91.617,0.032	0.012,117.521
1.181,0.858	80.375,0.095	0.019,68.367
77.320,0.045	77.320,2.209	0.169,93.897
1.650,0.079	96.323,0.079	0.026,3.873	0.026,153.158
2.942,0.361	86.280,0.005	0.103,29.762
329.869,0.073	0.862,6.155	0.862,132.297
70.696,0.439	0.016,363.240
1.040,0.185	102.342,0.026	0.027,11.288
413.161,0.019	0.136,18.919	5.375,18.919
351.614,0.332	0.287,390.872	11.514,15.719
1.550,2.892	131.562,0.341	0.028,240.336
60.387,0.118	0.019,26.037
2.340,0.016	229.608,0.016	0.030,109.227
75.800,0.046	0.046,2.702	0.046,121.207
1.001,0.003	86.089,0.003	0.017,12.710
125.294,0.026	125.294,2.101	0.048,121.060
92.367,0.756	0.018,58.333
3.087,0.034	117.911,0.034	0.035,95.907
1.049,1.883	83.705,0.022	0.013,135.810
282.871,1.052	0.085,62.433
121.636,0.120	0.068,130.713
0.422,1.089	19.862,0.217	0.422,106.610	19.862,21.255
55.152,1.440	0.050,95.690
3.819,0.834	76.781,0.037	0.039,29.853
2.080,1.279	121.705,0.021	0.021,118.270
0.378,1.665	32.641,0.098	0.004,80.713
38.776,0.457	38.776,5.282	0.040,485.252
2.650,0.236	104.994,0.005	0.033,5.484
2.280,0.151	78.583,0.151	0.030,73.594
37.877,0.020	2.913,41.679
0.181,1.960	17.511,0.122	0.002,181.099
0.266,0.541	23.362,0.005	0.003,17.953
62.220,0.004
2.773,0.023	150.135,0.023	0.064,81.247
216.404,0.491	216.404,6.268	0.042,184.863	3.452,184.863
114.848,0.087	0.032,160.542	1.577,160.542
313.408,0.008	0.255,38.380
130.425,1.979	130.425,6.818	0.037,127.701
0.620,6.091	5.959,0.256	5.959,6.763	0.014,160.986
50.786,0.534	0.007,321.500
1.155,0.976	105.258,0.011	0.106,92.652
0.868,1.639	75.028,0.038	0.532,125.060
191.497,0.019	0.108,108.480	4.280,108.480
59.176,0.299	59.176,1.065	0.034,72.060
3.440,0.476	266.865,0.008	0.036,46.122
63.749,0.016
1.161,2.567	66.560,0.060	0.017,242.435
1.893,0.045	124.941,0.045	0.027,43.323
135.832,0.009	0.017,0.803	0.017,32.244
1.769,2.034	12.693,0.066	1.142,91.995
4.215,0.912	164.925,0.011	0.205,12.811
323.527,0.351	8.145,21.933
99.220,0.297	0.024,134.742	1.070,134.742
1.614,2.382	84.994,0.043	0.039,137.883
99.125,0.030	99.125,2.642	0.066,168.416
59.084,0.361	0.011,122.625
60.568,0.034	0.031,49.073	1.862,49.073
2.281,0.196	27.942,0.003	0.053,8.732
3.520,0.506	90.245,0.037	0.557,13.522
112.795,0.053	0.799,4.534	0.799,76.616
8.126,1.045	388.937,0.079	388.937,6.059	0.217,80.564
169.355,0.033	0.113,182.831
0.681,0.386	25.247,0.013	0.017,35.120
71.037,0.051	71.037,4.925	0.033,219.085	1.827,219.085
1.529,0.161	113.010,0.002	0.018,12.614
0.666,0.056	61.507,0.001
233.847,0.080	233.847,2.287	0.068,29.144
1.587,2.413	143.228,0.045	0.090,108.697
2.257,2.155	61.616,0.376	0.426,103.998	11.633,18.136
9.353,0.029	9.353,2.247	0.090,93.962
0.695,0.034	40.958,0.000	0.695,3.427
1.806,0.317	175.793,0.003	0.038,10.147	3.694,10.147
331.036,0.028	0.114,1.467	0.114,89.152
94.603,0.101	0.024,4.254	0.024,127.704
14.707,0.229	0.271,3.297	0.271,293.151
34.846,0.044	0.009,2.998	0.009,271.996
583.584,0.004	0.176,22.163
1.133,2.062	102.612,0.101	102.612,5.341	0.027,108.963
58.308,0.047	0.033,410.138	1.274,410.138
137.377,0.013	0.098,0.803	2.577,0.803	0.098,16.538	2.577,16.538
0.336,1.091	32.010,0.051	0.009,93.165
1.193,0.297	67.514,0.297	0.022,383.666
150.266,0.218	2.155,316.977
240.665,0.167	240.665,5.318	0.051,291.620
94.876,0.008	0.032,31.198
1.789,0.959	103.162,0.021	0.030,59.454
0.544,1.201	11.924,0.030	0.007,112.715
1.047,0.178	65.019,0.004	0.036,14.040
0.928,1.829	36.292,0.033	0.014,152.038
209.596,0.062	209.596,5.287	0.087,227.325
163.973,0.128	0.088,6.264	0.088,112.610
0.073,0.480	0.004,38.415
4.288,1.350	116.465,1.149	0.087,115.850
2.002,0.161	105.439,0.003
69.356,0.023	1.104,21.664
0.825,0.815	8.789,0.010	0.024,71.004
10.034,0.313	0.002,164.753
1.510,1.809	109.164,0.019	0.019,168.601
366.315,0.053	0.137,140.600
389.817,0.104	0.133,84.652	9.170,84.652
191.813,0.061	0.041,4.436	0.041,154.066
89.320,0.426	0.074,1.592	0.074,59.138	6.738,15.836
46.799,0.054	0.024,4.505	0.024,71.462
2.526,0.997	247.178,0.020	0.026,66.269
16.170,0.094	0.010,6.076	0.010,540.476
3.170,1.477	209.399,0.017	0.141,71.223
0.028,2.254	0.000,125.128
218.443,0.068	0.913,13.081	4.089,13.081
100.518,0.012	0.115,75.733
151.855,0.324	0.093,140.740	5.580,140.740
6.983,0.035	0.002,3.088	0.002,129.742
80.009,0.074	0.013,27.220
43.603,0.552	43.603,6.169	0.018,154.093
317.908,0.034	0.449,55.138
319.478,0.277	0.606,396.235	7.024,396.235
2.518,1.254	249.120,1.254	0.037,307.942
29.746,0.006	0.029,6.997
39.720,0.010	0.035,19.507
106.887,0.012	0.126,61.079
0.014,1.450	0.014,133.720
4.055,0.622	0.001,251.913
1.464,1.358	128.092,0.015	0.087,123.256
0.368,3.417	14.970,0.044	0.010,66.909
250.999,0.052	0.028,108.312
0.004,117.821
0.349,0.775	29.479,0.018	0.006,53.314	0.518,53.314
1.137,0.033	96.792,0.033	0.033,96.899
99.516,0.019	99.516,1.816	0.032,157.264
0.020,1.089	1.167,1.089	0.001,76.991
66.922,0.134	0.037,10.170	0.037,256.114
15.322,0.132	0.030,125.567
32.317,0.125	0.007,160.415
257.932,0.018	0.145,79.732
0.059,56.320
90.592,0.071	0.078,104.913
4.819,0.010	174.430,0.010	0.247,65.665
1.033,0.641	98.068,0.010	0.028,20.010
3.581,0.027	87.272,0.027	0.055,1.824	0.055,51.488
22.761,0.039	22.761,3.616	0.160,56.461
4.454,0.991	351.831,0.021	0.049,58.516
79.084,0.049	0.080,32.636
3.430,0.023	282.444,0.023	0.039,116.013
153.018,0.272	0.017,2.395	0.017,27.534
2.565,1.627	79.706,0.026	0.043,124.601
148.745,0.421	0.181,234.250
0.664,1.090	50.471,0.049	50.471,4.278	0.042,95.890
1.047,3.619	23.523,3.619	1.047,28.931	23.523,28.931
26.741,0.361	0.016,3.858	0.016,343.156
45.385,0.073	0.037,3.511	0.037,83.419
86.425,0.241	86.425,2.187	0.014,197.870
52.618,0.114	0.027,216.025
3.003,0.963	129.643,0.010	0.033,61.533
113.103,0.001	0.741,3.614
4.870,0.812	471.623,0.054	0.658,47.072
182.992,2.932	0.297,268.391
21.892,0.062	0.079,112.615
281.009,0.045	0.136,3.884	0.136,249.485
166.651,1.125	0.021,591.574	1.791,591.574
50.755,1.726	0.070,541.895
0.607,1.646	28.111,0.033	0.013,74.635
60.084,0.079	0.056,4.513	1.747,4.513	0.056,100.688	1.747,100.688
117.291,0.109	117.291,1.750	0.083,142.469	1.882,142.469
317.911,0.131	0.847,238.562	17.702,7.663
1.522,5.008	79.073,0.259	0.042,179.855
358.713,0.001
31.704,0.429	0.011,74.972
0.843,1.893	15.171,0.024	0.009,83.384
298.202,0.296	0.499,154.301	28.313,7.900
177.939,0.119	1.332,56.206	11.490,6.685
107.759,0.052	0.264,140.007
0.494,0.734	23.083,0.008	0.070,56.677
76.089,0.216	0.011,110.502
0.285,1.103	28.293,0.014	0.014,49.482
0.289,0.602	22.111,0.029	0.005,28.422
43.624,0.083	0.029,1.887	0.630,1.887	0.029,96.788	0.630,96.788
0.462,0.249	36.751,0.249	0.005,318.069
0.386,0.094	15.243,0.092
3.504,0.133	67.185,0.133	0.060,36.692
67.859,0.074	0.046,5.128	0.046,57.499
0.001,223.668
237.972,0.484	0.165,212.660
2.735,0.030	189.732,0.030	0.053,54.412
222.636,0.093	0.651,119.712
6.423,0.036	65.316,0.036	6.423,3.595	65.316,3.595	0.415,131.178
0.246,0.252	4.851,0.003	0.003,11.896
247.411,0.065
2.473,1.548	174.127,0.016	0.160,64.195
430.275,0.035	0.508,65.984
2.448,0.121	112.149,0.121	2.448,2.074	112.149,2.074	0.026,105.354
0.003,440.371
173.867,0.620	0.136,3.528	2.284,3.528	0.136,182.072	2.284,182.072
0.145,2.291	11.740,0.073	0.002,13.225
3.940,2.078	181.195,0.127	0.693,183.257	31.864,11.176
3.839,0.248	120.637,0.248	0.091,104.209
2.172,1.885	84.080,0.409	0.046,96.721
23.413,0.014	0.169,49.588
506.875,0.069
3.223,1.196	306.237,0.717	0.371,64.870	35.270,38.886
108.013,0.076	0.077,6.744	5.274,6.744	0.077,284.754	5.274,284.754
1.305,0.709	80.479,0.009	0.024,59.868
2.107,0.030	73.517,0.030
82.579,0.027	0.324,173.307
103.701,0.054	103.701,3.793	0.022,102.842	1.191,102.842
0.019,52.708
0.330,2.545	29.712,0.118	0.005,12.750
94.081,0.033	0.028,79.731	1.797,79.731
5.579,0.763	36.433,0.763	0.116,239.298
105.281,0.054	0.022,27.273	1.139,27.273
293.794,0.074
2.672,3.135	221.145,0.045	0.095,171.195
71.275,0.132	0.075,157.514
0.705,1.071	29.814,0.046	29.814,3.093	0.008,71.584
9.534,0.164	239.591,0.164	9.534,5.043	239.591,5.043	0.170,170.810
1.959,0.008	177.333,0.008	0.050,0.754	0.050,56.529
116.594,0.113	0.038,2.121	0.038,91.683
107.704,0.113	0.026,623.442
0.522,0.075	42.495,0.002
314.219,0.032
70.823,0.048	0.016,1.026	0.016,65.259
89.160,0.004	0.032,9.677
80.311,0.057	80.311,3.162	0.044,77.554	4.301,77.554
45.500,0.213	0.006,531.108
1.330,2.202	96.487,0.030	0.035,96.178
1.593,1.230	127.308,0.013	0.067,106.729	5.349,106.729
108.158,0.071	108.158,6.391	0.091,133.042
2.485,0.063	145.997,0.063	0.026,89.067
1.393,1.663	101.061,0.039	0.018,99.407
97.510,0.031	0.020,2.382	0.020,160.196
2.519,0.005	133.139,0.005	0.085,39.332
111.247,0.006	0.028,29.496
134.204,0.040	0.051,3.840	3.185,3.840	0.051,85.721	3.185,85.721
0.312,1.767	27.000,0.101	27.000,5.897	0.005,103.405
138.543,0.011	2.699,4.446
1.509,0.166	126.097,0.004	0.020,15.258
165.396,0.117	165.396,7.169
251.842,0.032	0.132,2.069	2.884,2.069	0.132,181.889	2.884,181.889
52.284,0.136	0.007,209.775
156.683,0.016	0.031,1.456	0.031,115.137
1.607,0.472	85.510,0.047	0.035,46.334
182.769,0.007
39.368,0.812	0.013,89.299
0.345,3.508	32.267,0.084	0.005,168.479
157.296,0.456	0.112,363.600
1.459,4.237	130.501,0.054	0.021,117.235
7.233,0.205	121.399,0.205	0.086,88.825
45.098,0.019	0.234,68.103
42.287,0.107	0.082,6.037	1.913,6.037	0.082,97.353	1.913,97.353
1.535,1.067	97.516,0.024	0.018,86.819
0.497,0.508	19.483,0.011	0.008,27.912
24.902,0.119	24.902,6.012	0.038,485.072
73.930,0.053	73.930,1.364	0.032,123.588
7.799,1.595	39.449,0.098	0.110,106.791
1.886,3.743	135.772,0.192	0.028,107.259
53.880,0.118	0.045,420.624
168.037,0.022	0.053,8.977	3.459,8.977
138.435,0.081	138.435,3.159	0.665,261.067
61.673,0.210	0.059,1.816	0.059,48.756
39.045,0.707	0.007,47.717
0.466,1.314	37.910,0.018	0.015,93.508
1.312,2.081	123.912,0.022	0.064,156.911
2.873,0.045	143.025,0.045	0.463,94.933
111.808,0.006	0.138,27.105
73.535,0.330	0.123,102.095
2.491,1.102	109.848,0.019	0.034,80.745
2.052,0.997	166.460,0.016	0.028,20.748
1.444,1.079	117.705,0.035	0.027,87.746	2.196,87.746
1.800,1.913	137.206,0.285	137.206,5.847	0.031,39.261
63.275,0.025	0.565,91.162
201.958,0.131	0.555,324.317
90.060,0.121	0.031,7.428	0.031,593.139
714.822,0.151	0.079,2.473	0.079,127.617	7.620,7.788
246.010,0.048	246.010,2.202	0.884,175.782
9.655,0.285	0.004,55.072
0.471,0.909	27.654,0.014	27.654,0.991	0.005,64.936
1.086,1.626	96.708,0.041	96.708,4.050	0.545,160.068
1.974,0.449	31.938,0.006	0.021,37.804
3.016,0.040	95.754,0.040	0.107,224.007
60.961,0.086	0.036,260.713	1.140,260.713
194.275,0.207	0.074,77.723	5.729,17.730
1.540,0.034	95.754,0.034	0.090,224.007
91.833,0.056	0.012,8.336
23.162,0.011	0.048,64.627	1.862,64.627
10.440,0.177	0.002,4.895	0.002,138.235
0.388,1.582	28.484,0.034	0.022,147.633
256.513,0.025	0.730,1.483	0.730,66.043
2.432,0.624	196.571,0.010	0.052,35.045
267.246,0.330	0.338,53.067
2.981,0.305	193.736,0.006	0.091,21.305
325.032,0.073	0.189,219.171
93.576,0.020	0.058,105.152
3.428,0.129	268.753,0.002	0.036,12.681
39.158,1.057	0.007,200.704
151.627,0.321	0.133,160.943
0.531,0.452	12.748,0.013	0.016,29.427
136.734,0.179	0.056,54.046
0.978,0.029	93.770,0.029	0.020,77.189
0.011,175.880
2.520,0.031	121.234,0.031	0.145,106.098
467.921,0.033	467.921,2.248	0.129,34.672
48.737,0.023	0.088,113.989	3.426,113.989
68.445,0.145	68.445,5.536
256.096,0.068	0.087,83.691
2.678,2.467	208.774,0.083	0.039,233.536
1.619,2.183	91.672,0.063	0.025,80.391
141.769,0.034	0.264,136.288
31.008,0.068	31.008,2.458	0.065,75.880
28.846,0.050	28.846,1.848	0.006,17.661
95.062,0.004	0.037,34.586	1.940,34.586
6.814,1.963	524.397,1.963	0.155,639.287	11.959,10.262
0.867,0.235	56.451,0.012	0.015,13.750
0.656,0.848	63.747,0.029	0.061,12.327
130.835,0.034	0.123,1.481	2.476,1.481	0.123,101.478	2.476,101.478
281.449,0.006	0.051,39.218
409.035,0.104	409.035,4.291
0.605,2.584	49.059,0.083	0.026,114.385	2.133,114.385
0.522,2.089	20.315,0.033	0.014,75.576
1.184,0.876	106.569,0.016	0.013,62.543
1.437,0.151	126.030,0.002	0.025,13.424
62.764,2.052	0.035,167.785
122.334,6.354	0.056,389.796
105.845,0.033	0.083,99.222
197.575,0.004	0.058,30.041
117.885,0.007	0.021,36.602	1.970,36.602
29.326,0.039	0.009,2.755	0.009,261.594
44.686,0.020	0.047,135.149
